J:<Bb,39796>
I:<Ar,6596>
B:<P,2677>
C:<Ar,1680>
A:<Ar,3690>
G:<Ar,1881>
E:<Ar,4281>
D:<Ar,1159>
H:<Ar,335>
J:<C9,9950>
F:<CP,5365>
I:<C9,10288>
B:<Dn,158>,<P,151>,<Q,151>,<AD,151>,<AF,151>,<AG,151>,<Ab,151>,<CS,151>,<CT,151>,<DU,151>,<DV,151>,<Dw,151>
C:<C9,2531>
A:<Cg,2995>
G:<C9,2309>
E:<Cg,3584>
D:<C9,1397>
H:<C9,347>
J:<B0,14589>
F:<Dn,197>,<P,195>,<Q,195>,<AG,195>,<AJ,195>,<Do,195>,<Ab,195>,<Dp,195>,<Ao,195>,<BM,195>,<Bb,195>,<CF,195>,<CK,195>,<CP,195>,<CS,195>,<CT,195>,<Cz,195>,<C4,195>
I:<B0,9499>
B:<Dn,204>,<P,199>,<Q,199>,<AD,199>,<AF,199>,<AG,199>,<Ab,199>,<CS,199>,<CT,199>,<DU,199>,<DV,199>,<Dw,199>
C:<B0,2368>
A:<B0,3828>
G:<B0,2339>
E:<B0,5018>
D:<B0,1951>
H:<B0,381>
J:<Bv,13908>
F:<CK,6241>
I:<Bh,7988>
B:<Dn,175>,<P,172>,<Q,172>,<AD,172>,<AF,172>,<AG,172>,<Ab,172>,<CS,172>,<CT,172>,<DU,172>,<DV,172>,<Dw,172>
C:<B8,1731>
A:<Bh,3239>
G:<Bv,2316>
E:<Bv,7911>
D:<Bv,2063>
H:<CG,340>
J:<Bv,12413>
F:<Dp,4537>
I:<Dp,9183>
B:<Dn,193>,<P,185>,<Q,185>,<AD,185>,<AF,185>,<AG,185>,<Ab,185>,<CS,185>,<CT,185>,<DU,185>,<DV,185>,<Dw,185>
C:<B8,1915>
A:<Bh,4301>
G:<Bv,2416>
E:<Bv,8772>
D:<Bv,1588>
H:<CG,380>
J:<C8,12270>
F:<Q,6740>
I:<C8,11569>
B:<Q,2875>
C:<C8,1974>
A:<Dh,4288>
G:<C8,2440>
E:<BR,10842>
D:<C8,1649>
H:<C8,479>
J:<B0,39029>
F:<C4,10826>
I:<B0,27628>
B:<Dn,372>,<P,361>,<Q,361>,<AD,361>,<AF,361>,<AG,361>,<Ab,361>,<CS,361>,<CT,361>,<DU,361>,<DV,361>,<Dw,361>
C:<B0,5731>
A:<B0,10802>
G:<B0,4665>
E:<B0,19898>
D:<B0,1544>
H:<B0,887>
J:<Ar,35422>
F:<Dn,12217>
I:<Ar,40139>
B:<Dn,8246>
C:<Ar,6692>
A:<Ar,8864>
G:<Ar,6196>
E:<Ar,22748>
D:<Ar,1538>
H:<Ar,1412>
J:<Ar,59051>
F:<CK,13512>
I:<Ar,34025>
B:<Dn,406>,<P,403>,<Q,403>,<AD,403>,<AF,403>,<AG,403>,<Ab,403>,<CS,403>,<CT,403>,<DU,403>,<DV,403>,<Dw,403>
C:<Ar,5258>
A:<Ar,10357>
G:<Ar,7348>
E:<Ar,26192>
D:<Ar,2304>
H:<Ar,1281>
J:<Ak,30384>
F:<CP,19057>
I:<Ak,23633>
B:<AD,5603>
C:<Ak,7229>
A:<Cs,11401>
G:<Ak,5265>
E:<Ak,22154>
D:<Ak,2812>
H:<Ak,1153>
J:<Bx,46508>
F:<CK,12477>
I:<Bh,17991>
B:<AF,6172>
C:<B8,6569>
A:<Bh,10458>
G:<Bx,6886>
E:<Dr,17607>
D:<Bx,3104>
H:<CH,764>
J:<Bv,44726>
F:<CP,17303>
I:<AV,24738>
B:<Dw,5456>
C:<AV,5944>
A:<AV,7879>
G:<Bv,6952>
E:<Bv,15697>
D:<Bv,2556>
H:<AV,1341>
J:<Cz,32415>
F:<Cz,11193>
I:<Cz,20505>
B:<AF,5233>
C:<Cz,6740>
A:<AV,7637>
G:<Cz,6853>
E:<BV,9738>
D:<Cz,2951>
H:<Cz,903>
J:<A,25188>
F:<Cz,13521>
I:<A,16136>
B:<DV,5041>
C:<Ak,5660>
A:<A,6678>
G:<A,5019>
E:<Ak,10783>
D:<A,2478>
H:<Ak,1161>
J:<E,37035>
F:<CS,9001>
I:<E,26765>
B:<CS,7377>
C:<E,5321>
A:<E,7032>
G:<E,6548>
E:<A3,7693>
D:<E,2029>
H:<CS,900>
J:<DF,32463>
F:<CT,12916>
I:<DF,24504>
B:<CT,7196>
C:<DF,5333>
A:<DF,6772>
G:<DF,5658>
E:<DF,15874>
D:<DF,2673>
H:<DF,1115>
J:<DF,25965>
F:<CP,16410>
I:<DF,22675>
B:<AD,5453>
C:<DF,4161>
A:<DF,9235>
G:<DF,4032>
E:<DF,16024>
D:<DF,2963>
H:<DF,771>
J:<Du,36337>
F:<AG,13873>
I:<Du,21567>
B:<AG,6147>
C:<Du,3698>
A:<Du,9144>
G:<Du,3858>
E:<Du,13036>
D:<Du,4420>
H:<Du,1053>
J:<Do,22703>
F:<Do,15631>
I:<Do,24623>
B:<Q,8614>
C:<Do,5291>
A:<Do,6148>
G:<A7,5092>
E:<A7,14379>
D:<A7,3192>
H:<Do,1217>
J:<BM,23347>
F:<BM,15941>
I:<BM,22420>
B:<Q,8424>
C:<B8,3875>
A:<BM,5975>
G:<A7,5114>
E:<A7,10293>
D:<A7,4127>
H:<4,1040>
J:<DD,25209>
F:<CT,12342>
I:<DD,19613>
B:<CT,8276>
C:<DD,6106>
A:<DD,8334>
G:<DD,4248>
E:<DD,10704>
D:<DD,3510>
H:<DD,791>
J:<Ar,22997>
F:<CS,17953>
I:<Ar,25381>
B:<CS,10198>
C:<Ar,4059>
A:<Ar,10728>
G:<Ar,5236>
E:<Ar,7108>
D:<Ar,5248>
H:<Ar,904>
J:<BV,30110>
F:<CS,19472>
I:<Br,23280>
B:<CS,11021>
C:<CB,4857>
A:<Br,9467>
G:<BV,6140>
E:<BV,9239>
D:<BV,4072>
H:<CS,1474>
J:<BV,27795>
F:<P,19730>
I:<BC,24733>
B:<P,13111>
C:<CB,5022>
A:<Cs,7948>
G:<BV,5747>
E:<BV,8566>
D:<BV,5183>
H:<CH,1497>
J:<Ag,32783>
F:<Dn,23798>
I:<Ag,23048>
B:<Dn,12243>
C:<Ag,5640>
A:<Ag,6630>
G:<Ag,5798>
E:<Ag,6471>
D:<Ag,3962>
H:<Ag,1050>
J:<Do,31906>
F:<Do,14602>
I:<Do,22045>
B:<DU,7408>
C:<Do,6147>
A:<Do,6485>
G:<Do,5532>
E:<BR,5966>
D:<Do,3754>
H:<Do,993>
J:<Ab,30096>
F:<Ab,19941>
I:<Ab,21803>
B:<Ab,11043>
C:<Ab,6451>
A:<Ab,9683>
G:<Ab,5619>
E:<DD,7655>
D:<Ab,4434>
H:<Ab,1122>
J:<Cg,31673>
F:<C4,25776>
I:<Cg,18483>
B:<AF,8296>
C:<Cg,4536>
A:<Cg,8982>
G:<Cg,5813>
E:<Cg,8638>
D:<Cg,5847>
H:<C4,1598>
J:<BM,44937>
F:<BM,20579>
I:<BM,23098>
B:<DV,13653>
C:<Ag,6164>
A:<BM,7451>
G:<Ag,4870>
E:<Ag,14553>
D:<Ag,6297>
H:<Ag,2051>
J:<B0,41137>
F:<AG,24911>
I:<B0,29835>
B:<AG,9356>
C:<B0,7335>
A:<B0,7137>
G:<B0,7413>
E:<B0,16813>
D:<B0,3971>
H:<B0,1301>
J:<Bx,36100>
F:<AG,22222>
I:<BC,17196>
B:<AG,14786>
C:<CZ,8195>
A:<C,7734>
G:<Bx,7153>
E:<A7,7000>
D:<Bx,4498>
H:<CH,2566>
